Round,sampleID,Temp,Genotype,Flask,k,n0,r,t_mid,t_gen,auc_l,auc_e,sigma,note,ExcelExp,LinearGrowth
July,CCMP2458_1_32,32,CCMP2458,1,1555858.134,86436.46146,0.154158933,18.37853013,4.496315386,7758764.525,7388194.45,136791.9651,,0.3242,4.2582
July,CCMP2458_2_26,26,CCMP2458,2,9.66E+12,68855.03193,0.135621491,138.317708,5.110894872,7141225.827,6976249.995,103736.2539,,0.1869,4.0379
July,CCMP2458_2_30,30,CCMP2458,2,7.92E+12,124095.9052,0.116969067,153.6473763,5.925901582,9946015.964,9761979.173,206831.3595,,0.3343,4.6909
July,CCMP2458_2_32,32,CCMP2458,2,5.77E+11,136836.4781,0.102970281,148.1373344,6.731526557,9091358.034,8761805.553,197827.7713,,0.3394,4.834
July,CCMP2458_3_26,26,CCMP2458,3,1222840.275,53723.18313,0.188242655,16.36270745,3.682200401,6808268.03,6481944.44,114590.0115,,0.227,4.2961
July,CCMP2458_3_30,30,CCMP2458,3,2.51E+12,132274.1029,0.112311378,149.2185037,6.171655889,9954307.367,9655104.173,265859.8364,,0.3335,5.143
July,CCMP2458_3_32,32,CCMP2458,3,11869534.16,111414.2939,0.115472246,40.34773589,6.002716685,8397578.001,8062916.673,168067.8337,,0.3157,4.8337
July,CCMP2458_4_26,26,CCMP2458,4,2.79E+12,73600.94197,0.12930022,134.9656267,5.360757927,6988158.751,6676666.665,152751.2432,,0.2345,4.4443
July,CCMP2458_4_30,30,CCMP2458,4,1944685.713,148240.2651,0.132067326,18.88984164,5.24843807,10157999.96,9806145.828,204868.8789,,0.326,4.7399
July,CCMP2458_4_32,32,CCMP2458,4,1632287.253,105172.2063,0.139440456,19.18766375,4.970918785,8016074.425,7628472.22,182196.2057,,0.3345,4.1675
July,CCMP2464_1_26,26,CCMP2464,1,836624.1095,5014.75466,0.454558779,11.24382268,1.524879098,7348630.973,7286527.787,56230.84176,,0.3124,5.4842
July,CCMP2464_1_30,30,CCMP2464,1,1137530.533,5470.130086,0.532972277,10.00519624,1.300531399,11369451.45,11511388.88,131211.8882,,0.3128,
July,CCMP2464_1_32,32,CCMP2464,1,1030760.971,4031.741367,0.520400682,10.64551861,1.331949025,9649641.43,9926944.44,71230.54072,,0.2959,
July,CCMP2464_2_26,26,CCMP2464,2,717728.5083,3973.279611,0.481201197,10.78747989,1.440451905,6621420.289,6793645.84,136999.7411,,0.2824,5.642
July,CCMP2464_2_30,30,CCMP2464,2,1134566.748,2325.867928,0.605071483,10.22666071,1.145562467,11089718.54,11599583.33,128676.3946,,0.3068,
July,CCMP2464_2_32,32,CCMP2464,2,1008011.789,4097.938771,0.524753987,10.48334555,1.320899311,9598053,9957777.773,98990.57596,,0.292,
July,CCMP2464_3_26,26,CCMP2464,3,664268.3327,3877.13589,0.466853915,11.00501787,1.484719649,5987944.689,6155381.947,63806.4165,,0.2776,4.6964
July,CCMP2464_3_30,30,CCMP2464,3,1153079.178,1840.522209,0.603483467,10.66896568,1.148576919,10763205.87,11426388.88,142096.0375,,0.2699,
July,CCMP2464_3_32,32,CCMP2464,3,1104294.517,2742.891568,0.563968533,10.63084552,1.229052935,10351343.69,10889583.33,117675.3959,,0.2959,
July,CCMP2464_4_26,26,CCMP2464,4,737374.3892,6558.894404,0.430357016,10.95216019,1.610632929,6690884.107,6573576.393,68490.77846,,0.2785,5.0064
July,CCMP2464_4_30,30,CCMP2464,4,1172570.252,7792.937448,0.489592298,10.22701409,1.415764061,11463471.58,11740694.45,77498.7949,,0.2659,
July,CCMP2464_4_32,32,CCMP2464,4,1130085.38,5831.296251,0.480791778,10.94368911,1.441678524,10252262.01,10299027.78,70423.12464,,0.3048,
July,FLCass_1_30,30,FLCass,1,828780.5339,37869.105,0.347399864,8.747989559,1.995243099,9261257.589,9277604.173,98426.97566,,0.3114,
July,FLCass_1_32,32,FLCass,1,809728.5367,27051.51659,0.355581871,9.463297552,1.94933217,8507601.508,8281770.828,114511.2091,,0.2133,
July,FLCass_2_26,26,FLCass,2,1057082.824,30810.50186,0.305810211,11.46408027,2.266592661,9166111.123,9077361.115,170114.0383,,0.4025,
July,FLCass_2_30,30,FLCass,2,884166.5524,15970.95153,0.430251855,9.286759486,1.611026595,9455191.771,9565798.615,125355.9805,,0.223,
July,FLCass_2_32,32,FLCass,2,770885.1687,12383.14689,0.405620574,10.14497119,1.708856071,7600901.787,7632222.218,109532.7867,,0.2147,
July,FLCass_3_26,26,FLCass,3,878781.8488,14941.56349,0.398321158,10.18585377,1.740171633,8630471.575,8903472.23,205461.8287,,0.371,
July,FLCass_3_30,30,FLCass,3,986584.8802,20213.10821,0.398912529,9.694399211,1.737591905,10156362.06,10088888.9,136264.5313,,0.2419,
July,FLCass_3_32,32,FLCass,3,694583.8324,6547.294699,0.481324485,9.670794118,1.440082941,7170800.14,7010972.218,112570.4826,,0.2031,
July,FLCass_4_26,26,FLCass,4,6499635.732,79946.98264,0.138217809,31.73079679,5.014890517,7898271.52,7661666.661,179718.5955,,0.4207,
July,FLCass_4_30,30,FLCass,4,986180.0201,9283.70414,0.482521336,9.649562735,1.436510946,10201866.28,10505381.94,137424.5754,,0.2476,
July,FLCass_4_32,32,FLCass,4,592964.5645,2321.383209,0.663003633,8.354477385,1.045465131,6902270.534,6780138.89,123183.6762,,0.2892,
July,KB8_1_26,26,KB8,1,1018049.568,18009.53802,0.332478172,12.08167677,2.08479004,8219157.425,8333333.33,80738.16155,,0.2516,
July,KB8_1_30,30,KB8,1,1159903.559,59612.60174,0.288708839,10.09828086,2.400851958,11497077.63,11446111.11,81010.89848,,0.2451,
July,KB8_1_32,32,KB8,1,1166643.014,46889.03577,0.27091677,11.71238094,2.558524455,9925513.119,9965555.563,90687.12999,,0.203,
July,KB8_2_26,26,KB8,2,937527.866,10157.63557,0.394742355,11.43562912,1.755948332,8082925.186,8377881.944,106581.6589,,0.2796,
July,KB8_2_30,30,KB8,2,1203202.79,55290.10922,0.302047276,10.04182694,2.294830098,11986383.02,11921944.44,69832.37056,,0.2257,
July,KB8_2_32,32,KB8,2,1179842.948,24397.26088,0.312560589,12.34247276,2.21764101,9285656.568,9505138.883,85721.15152,,0.2344,
July,KB8_3_26,26,KB8,3,772286.7472,5621.010427,0.425459226,11.5534913,1.629174169,6559106.624,6913958.332,96953.42419,,0.2635,
July,KB8_3_30,30,KB8,3,1339466.961,62495.58488,0.274316937,10.99877596,2.526811464,12220322.52,12241250,98292.54683,,0.2326,
July,KB8_3_32,32,KB8,3,1328418.615,34810.04584,0.253752338,14.24729695,2.731589335,8596471.256,8721249.993,74083.61448,,0.2339,
July,KB8_4_26,26,KB8,4,921735.6602,3617.238051,0.467474759,11.84366752,1.482747822,7553300.328,7864722.22,60649.71817,,0.2593,
July,KB8_4_30,30,KB8,4,1287018.307,35265.22667,0.335056262,10.65314491,2.068748623,12086937.87,12176597.23,73144.2749,,0.2322,
July,KB8_4_32,32,KB8,4,1366936.979,63517.74056,0.220712221,13.68944148,3.140502045,9705385.738,9529722.23,65720.38994,,0.2118,
July,RT362_1_26,26,RT362,1,2.39E+12,101915.3613,0.127955556,132.6367329,5.417093274,9497606.183,9213749.998,179106.2394,,0.1626,
July,RT362_1_30,30,RT362,1,884769.24,34.39727733,1.233312405,8.233976901,0.562020765,10410187.78,10335173.62,153092.5724,,0.2582,
July,RT362_1_32,32,RT362,1,4183005.293,106643.3944,0.12921616,28.19670292,5.364245319,8801031.647,8413888.895,167200.4127,,0.2609,
July,RT362_2_26,26,RT362,2,997581.7761,3863.522061,0.623563709,8.900252566,1.111589996,11068275.21,10351666.66,238748.2511,,0.3366,
July,RT362_2_30,30,RT362,2,999192.1236,5904.359458,0.580833372,8.824096017,1.193366659,11159286.61,10729305.55,192973.1811,,0.2669,
July,RT362_2_32,32,RT362,2,834535.3773,5933.121599,0.611000308,8.083776231,1.134446532,9935705.345,9513055.563,129753.482,,0.2954,
July,RT362_3_26,26,RT362,3,887962.9344,6739.15287,0.525736065,9.269627289,1.318431866,9521287.934,9013194.438,166127.6349,,0.2795,
July,RT362_3_30,30,RT362,3,949230.7007,1932.704867,0.751501642,8.243086731,0.922349523,11157632.38,10688055.56,228553.1808,,0.303,
July,RT362_3_32,32,RT362,3,1039459.586,48119.18697,0.305814626,9.892845908,2.266559941,10495981.85,9784999.995,202543.1564,,0.2671,
July,RT362_4_26,26,RT362,4,1378526.175,80232.90092,0.211199396,13.18125051,3.281956262,10396152.8,9839166.668,197836.9971,,0.3302,
July,RT362_4_30,30,RT362,4,961382.8864,11308.77431,0.570433149,7.767713166,1.215124299,11741539.58,11310138.89,140230.3733,,0.3027,
July,RT362_4_32,32,RT362,4,1007300.953,28058.14349,0.401718325,8.843262806,1.725455718,11195561.58,10419305.56,222020.2697,,0.3156,
