WellNum,Genotype.x,Temp.x,Plate.x,Day.Dead.x,Survive.to.End.x,Days.to.Inoculation.x,Days.to.Strobilation.x,Days.to.Ephyra.x,Total.Buds.x,Total.Ephyra.Produced.x,Notes.x,Date,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto,Count1,Count2,PicDate,PictureNum,Area,Genotype.y,Temp.y,Plate.y,Day.Dead.y,Survive.to.End.y,Days.to.Inoculation.y,Days.to.Strobilation.y,Days.to.Ephyra.y,Total.Buds.y,Total.Ephyra.Produced.y,Notes.y,avgct,cells.per.mL,cells.per.polyp,cells.per.area,Resp.per.cell.density,Resp,GP.per.cell.density,GP,NP.per.cell.density,NP,Resp.per.cell,Resp.per.bill.cell,GP.per.cell,GP.per.bill.cell,NP.per.cell,NP.per.bill.cell,Seq
11,CCMP2458,26,2,NA,Yes,28,NA,NA,5,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
12,CCMP2458,26,2,NA,Yes,14,NA,NA,1,0,,20-Jan,-0.2029,0.3935,-0.343475,-0.056633333,0.286841667,61,71,20-Jan,12,0.899,CCMP2458,26,2,NA,Yes,14,NA,NA,1,0,,66,660000,9.90E+07,110122358.2,-3.12E-09,-3.119030556,-5.14E-10,-0.514276428,2.60E-09,2.604754128,-3.47E-09,-3.469444444,-5.72E-10,-0.572053869,2.90E-09,2.897390576,Y
13,CCMP2458,26,3,NA,Yes,NA,NA,NA,7,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
14,CCMP2458,26,3,NA,Yes,14,16,21,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
15,CCMP2458,26,3,NA,Yes,16,NA,NA,4,0,,21-Jan,0.131,0.5037,0.040566667,0.184008333,0.143441667,17,35,21-Jan,83,0.584,CCMP2458,26,3,NA,Yes,16,NA,NA,4,0,,26,260000,3.90E+07,66780821.92,6.07E-10,0.607459834,2.76E-09,2.755406833,2.15E-09,2.147947014,1.04E-09,1.040170949,4.72E-09,4.718162385,3.68E-09,3.677991462,N
16,CCMP2458,26,3,NA,Yes,22,NA,NA,3,0,,21-Jan,-0.1207,0.1055,-0.211133333,-0.214191667,-0.003058333,14,18,21-Jan,84,0.601,CCMP2458,26,3,NA,Yes,22,NA,NA,3,0,,16,160000,2.40E+07,39933444.26,-5.29E-09,-5.287130547,-5.36E-09,-5.363716328,-7.66E-11,-0.076585756,-8.80E-09,-8.797222208,-8.92E-09,-8.924652792,-1.27E-10,-0.127430542,Y
17,CCMP2458,26,3,NA,Yes,22,NA,NA,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
18,CCMP2458,26,3,NA,Yes,12,14,16,1,1,,21-Jan,-0.0084,0.2306,-0.098833333,-0.089091667,0.009741667,10,10,21-Jan,85,0.255,CCMP2458,26,3,NA,Yes,12,14,16,1,1,,10,1.00E+05,1.50E+07,58823529.41,-1.68E-09,-1.680166661,-1.51E-09,-1.514558339,1.66E-10,0.165608339,-6.59E-09,-6.588888867,-5.94E-09,-5.939444467,6.49E-10,0.649444467,Y
19,CCMP2458,26,4,NA,Yes,NA,NA,NA,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
20,CCMP2458,26,4,NA,Yes,20,NA,NA,2,0,,21-Jan,-0.0502,0.1223,-0.140633333,-0.197391667,-0.056758333,20,24,21-Jan,86,0.476,CCMP2458,26,4,NA,Yes,20,NA,NA,2,0,,22,220000,3.30E+07,69327731.09,-2.03E-09,-2.028529288,-2.85E-09,-2.847225257,-8.19E-10,-0.818695955,-4.26E-09,-4.261616152,-5.98E-09,-5.981565667,-1.72E-09,-1.719949485,N
21,CCMP2458,26,4,NA,Yes,NA,NA,NA,6,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
22,CCMP2458,26,4,NA,Yes,20,NA,NA,1,0,,21-Jan,-0.0727,0.2319,-0.163133333,-0.087791667,0.075341667,35,38,21-Jan,87,0.783,CCMP2458,26,4,NA,Yes,20,NA,NA,1,0,,36.5,365000,54750000,69923371.65,-2.33E-09,-2.333030132,-1.26E-09,-1.255541101,1.08E-09,1.077489046,-2.98E-09,-2.979604256,-1.60E-09,-1.603500767,1.38E-09,1.376103507,Y
23,CCMP2458,26,4,NA,Yes,18,22,26,2,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
24,CCMP2458,26,4,NA,Yes,12,14,17,4,1,,21-Jan,0.0539,0.2608,-0.036533333,-0.058891667,-0.022358333,11,11,21-Jan,88,0.197,CCMP2458,26,4,NA,Yes,12,14,17,4,1,,11,110000,16500000,83756345.18,-4.36E-10,-0.436185855,-7.03E-10,-0.703130812,-2.67E-10,-0.266944946,-2.21E-09,-2.214141394,-3.57E-09,-3.569191939,-1.36E-09,-1.355050485,Y
25,CCMP2464,26,1,NA,Yes,NA,NA,NA,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
26,CCMP2464,26,1,17,No,NA,NA,NA,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
27,CCMP2464,26,1,NA,Yes,26,NA,NA,0,0,,20-Jan,-1.0405,0.5814,-1.0405,0.5814,1.6219,95,111,20-Jan,13,0.957,CCMP2464,26,1,NA,Yes,26,NA,NA,0,0,,103,1030000,154500000,161442006.3,-6.45E-09,-6.445038835,3.60E-09,3.601293204,1.00E-08,10.04633204,-6.73E-09,-6.734627832,3.76E-09,3.763106796,1.05E-08,10.49773463,Y
28,CCMP2464,26,1,NA,Yes,20,22,26,7,1,,20-Jan,0.1199,0.3577,0.1199,0.3577,0.2378,12,12,20-Jan,14,0.151,CCMP2464,26,1,NA,Yes,20,22,26,7,1,,12,120000,1.80E+07,119205298,1.01E-09,1.005827778,3.00E-09,3.000705556,1.99E-09,1.994877778,6.66E-09,6.661111111,1.99E-08,19.87222222,1.32E-08,13.21111111,Y
29,CCMP2464,26,1,NA,Yes,24,NA,NA,4,0,,20-Jan,-0.4385,0.0698,-0.4385,0.0698,0.5083,58,80,20-Jan,15,0.798,CCMP2464,26,1,NA,Yes,24,NA,NA,4,0,,69,690000,103500000,129699248.1,-3.38E-09,-3.380898551,5.38E-10,0.538168116,3.92E-09,3.919066667,-4.24E-09,-4.236714976,6.74E-10,0.674396135,4.91E-09,4.911111111,Y
30,CCMP2464,26,1,NA,Yes,NA,NA,NA,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
31,CCMP2464,26,2,NA,Yes,NA,NA,NA,3,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
