WellNum,Genotype.x,Temp.x,Plate.x,Day.Dead.x,Survive.to.End.x,Days.to.Inoculation.x,Days.to.Strobilation.x,Days.to.Ephyra.x,Total.Buds.x,Total.Ephyra.Produced.x,Notes.x,Date,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto,Count1,Count2,PicDate,PictureNum,Area,Genotype.y,Temp.y,Plate.y,Day.Dead.y,Survive.to.End.y,Days.to.Inoculation.y,Days.to.Strobilation.y,Days.to.Ephyra.y,Total.Buds.y,Total.Ephyra.Produced.y,Notes.y,avgct,cells.per.mL,cells.per.polyp,cells.per.area,Resp.per.cell.density,Resp,GP.per.cell.density,GP,NP.per.cell.density,NP,Resp.per.cell,Resp.per.bill.cell,GP.per.cell,GP.per.bill.cell,NP.per.cell,NP.per.bill.cell,Seq
359,RT362,32,4,NA,Yes,8,9,11,1,1,,22-Jan-20,0.4983,0.453,0.002875,-0.044466667,-0.047341667,24,26,22-Jan,37,0.516,RT362,32,4,NA,Yes,8,9,11,1,1,,25,250000,37500000,72674418.6,3.96E-11,0.03956,-6.12E-10,-0.611861338,-6.51E-10,-0.651421338,7.67E-11,0.076666667,-1.19E-09,-1.185777787,-1.26E-09,-1.262444453,N
360,RT362,32,4,NA,Yes,12,12,15,3,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y
c49,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,1,0,,21-Jan,0.3324,0.5944,-0.049466667,0.016508333,0.065975,24,34,21-Jan,1,1,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,1,0,,29,290000,43500000,43500000,-1.14E-09,-1.137164759,3.80E-10,0.379501908,1.52E-09,1.516666667,-1.14E-09,-1.137164759,3.80E-10,0.379501908,1.52E-09,1.516666667,Y
c50,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c51,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,4,0,Removed from suspected contamination day 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c52,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,3,0,,21-Jan,0.3441,0.5599,-0.037766667,-0.017991667,0.019775,5,6,21-Jan,2,0.555,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,3,0,,5.5,55000,8250000,14864864.86,-2.54E-09,-2.540666689,-1.21E-09,-1.210348507,1.33E-09,1.330318182,-4.58E-09,-4.577777818,-2.18E-09,-2.180808121,2.40E-09,2.396969697,N
c53,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,3,0,,21-Jan,0.3812,0.4418,-0.000666667,-0.136091667,-0.135425,17,32,21-Jan,3,0.659,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,3,0,,24.5,245000,36750000,55766312.59,-1.20E-11,-0.011954655,-2.44E-09,-2.440392069,-2.43E-09,-2.428437415,-1.81E-11,-0.018140599,-3.70E-09,-3.703174612,-3.69E-09,-3.685034014,N
c54,Aposymbiotic,32,1,NA,Yes,NA,NA,NA,4,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N
c55,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,5,0,,21-Jan,0.3828,0.4944,0.000933333,-0.083491667,-0.084425,17,35,21-Jan,4,0.718,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,5,0,,26,260000,3.90E+07,54317548.75,1.72E-11,0.0171829,-1.54E-09,-1.537102998,-1.55E-09,-1.554285897,2.39E-11,0.023931615,-2.14E-09,-2.140811974,-2.16E-09,-2.16474359,Y
c56,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,1,0,,21-Jan,0.2503,0.5583,-0.131566667,-0.019591667,0.111975,47,49,21-Jan,5,0.54,Aposymbiotic,32,2,NA,Yes,NA,NA,NA,1,0,,48,480000,7.20E+07,133333333.3,-9.87E-10,-0.986750003,-1.47E-10,-0.146937503,8.40E-10,0.8398125,-1.83E-09,-1.827314819,-2.72E-10,-0.272106486,1.56E-09,1.555208333,N
