"WellNum","Date","Genotype","Temp","Plate","Resp.per.bill.cell","GP.per.bill.cell","NP.per.bill.cell"
"143","21-Jan","CCMP2458","30","4",-54.5535355151515,35.430303030303,89.9838385454545
"157","21-Jan","CCMP2464","30","3",-45.9259259259259,153.925925925926,199.851851851852
"181","21-Jan","FLCass","30","3",-168.051282051282,39.3076923076923,207.358974358974
"159","21-Jan","CCMP2464","30","3",61.8181818181818,-13.2121212121212,-75.030303030303
"184","21-Jan","FLCass","30","3",28.3076923076923,51.042735042735,22.7350427350427
"162","21-Jan","CCMP2464","30","3",-36,-57.5897435897436,-21.5897435897436
"186","21-Jan","FLCass","30","3",-121.645390070922,-45.6312056737589,76.0141843971631
"166","21-Jan","CCMP2464","30","4",-47.9012345679012,-78.5679012345679,-30.6666666666667
"187","21-Jan","FLCass","30","4",-60.5957446808511,-25.5602836879433,35.0354609929078
"167","21-Jan","CCMP2464","30","4",-83.0344827586207,-31.7931034482759,51.2413793103448
"189","21-Jan","FLCass","30","4",-90.9387755102041,82.9659863945578,173.904761904762
"192","21-Jan","FLCass","30","4",-25.2287581699346,-9.66013071895425,15.5686274509804
"206","21-Jan","KB8","30","3",6.44444444444444,4.87901214814815,-1.5654322962963
"229","21-Jan","RT362","30","3",-60.1560283687943,-183.697399716312,-123.541371347518
"208","21-Jan","KB8","30","3",131.75,-16.2962966666667,-148.046296666667
"230","21-Jan","RT362","30","3",109.689497716895,-8.97412493150685,-118.663622648402
"207","21-Jan","KB8","30","3",148.259259259259,67.1604933333333,-81.0987659259259
"232","21-Jan","RT362","30","3",302.583333333333,-97.5555566666667,-400.13889
"212","21-Jan","KB8","30","4",-25.3636363636364,-65.2929296969697,-39.9292933333333
"235","21-Jan","RT362","30","4",17.8592592592593,5.31358014814815,-12.5456791111111
"214","21-Jan","KB8","30","4",47.8364779874214,0.922431698113208,-46.9140462893082
"236","21-Jan","RT362","30","4",78.8949771689498,6.98934538812785,-71.9056317808219
"216","21-Jan","KB8","30","4",-309.878787878788,365.414140606061,675.292928484848
"237","21-Jan","RT362","30","4",-577.157894736842,21.94152,599.099414736842
"c49","21-Jan","Aposymbiotic","32","1",-22.7432951724138,7.59003816091954,30.3333333333333
"242","21-Jan","CCMP2458","32","1",-1108.25479005998,-58.1262553556127,1050.12853470437
"c52","21-Jan","Aposymbiotic","32","1",-91.5555563636364,-43.6161624242424,47.9393939393939
"244","21-Jan","CCMP2458","32","1",-0.423280634920635,2.98941777777778,3.41269841269841
"c53","21-Jan","Aposymbiotic","32","1",-0.362811972789116,-74.063492244898,-73.7006802721088
"245","21-Jan","CCMP2458","32","1",-9.23671536231884,-55.7584544927536,-46.5217391304348
"c55","21-Jan","Aposymbiotic","32","2",0.478632307692308,-42.8162394871795,-43.2948717948718
"247","21-Jan","CCMP2458","32","2",30.6262618181818,-114.404041212121,-145.030303030303
"c56","21-Jan","Aposymbiotic","32","2",-36.5462963888889,-5.44212972222222,31.1041666666667
